gw_code,trend,h,p_value,sen_slope_bgl_per_month,kendall_tau
CGWBNG0540,no trend,False,1.0,0.0007291666666668917,0.003076923076923077
CGWBNG0586,no trend,False,0.6345102928818573,-0.015375000000000005,-0.07509881422924901
CGWNAG2197,increasing,True,0.011635020494018544,0.15026785714285723,0.36333333333333334
CGWNAG2198,no trend,False,0.498219385345291,0.035351731601731565,0.1
