gw_code,year,month,recharge_mm_sy02,recharge_mm_sy05,recharge_mm_sy10
1.8245E+14,2022,5,0.0,0.0,0.0
1.826E+14,2021,11,0.0,0.0,0.0
1.826E+14,2022,1,24.800000000000004,62.000000000000014,124.00000000000003
1.826E+14,2022,5,0.0,0.0,0.0
1.826E+14,2022,8,26.00000000000001,65.00000000000003,130.00000000000006
1.826E+14,2022,11,2.9999999999999982,7.499999999999996,14.999999999999991
1.826E+14,2023,3,0.0,0.0,0.0
1.826E+14,2023,5,0.0,0.0,0.0
1.82917E+14,2022,1,0.0,0.0,0.0
1.82917E+14,2022,8,0.0,0.0,0.0
1.82917E+14,2022,11,43.400000000000006,108.50000000000001,217.00000000000003
1.82947E+14,2021,11,0.0,0.0,0.0
1.82947E+14,2022,1,0.0,0.0,0.0
1.82947E+14,2022,8,0.0,0.0,0.0
1.82947E+14,2022,11,13.4,33.5,67.0
1.82947E+14,2023,3,0.0,0.0,0.0
1.82947E+14,2023,5,0.0,0.0,0.0
1.82E+14,2021,11,0.0,0.0,0.0
1.82E+14,2022,1,0.0,0.0,0.0
1.82E+14,2022,5,0.0,0.0,0.0
1.82E+14,2022,8,100.0,250.0,500.0
1.82E+14,2022,11,0.0,0.0,0.0
1.82E+14,2023,3,0.0,0.0,0.0
1.82E+14,2023,5,70.4,176.00000000000003,352.00000000000006
1.83039E+14,2022,5,0.0,0.0,0.0
1.83039E+14,2022,8,41.6,104.0,208.0
1.83039E+14,2022,11,28.4,71.0,142.0
1.83039E+14,2023,5,0.0,0.0,0.0
1.83157E+14,2021,11,0.0,0.0,0.0
1.83157E+14,2022,1,0.0,0.0,0.0
1.83157E+14,2022,5,0.0,0.0,0.0
1.83157E+14,2022,8,14.0,35.0,70.0
1.83157E+14,2022,11,0.0,0.0,0.0
1.83157E+14,2023,3,10.999999999999998,27.499999999999996,54.99999999999999
1.83157E+14,2023,5,0.0,0.0,0.0
1.8322E+14,2021,11,0.0,0.0,0.0
1.8322E+14,2022,1,25.999999999999996,64.99999999999999,129.99999999999997
1.8322E+14,2022,5,25.0,62.5,125.0
1.8322E+14,2022,8,7.399999999999992,18.49999999999998,36.99999999999996
1.8322E+14,2022,11,0.0,0.0,0.0
1.8322E+14,2023,3,0.0,0.0,0.0
1.8322E+14,2023,5,0.0,0.0,0.0
1.83349E+14,2022,5,0.0,0.0,0.0
1.83349E+14,2023,3,0.0,0.0,0.0
1.83455E+14,2021,11,0.0,0.0,0.0
1.83455E+14,2022,1,0.0,0.0,0.0
1.83455E+14,2022,5,0.0,0.0,0.0
1.83455E+14,2022,8,0.0,0.0,0.0
1.83455E+14,2022,11,52.0,130.0,260.0
1.83455E+14,2023,3,0.0,0.0,0.0
1.83455E+14,2023,5,0.0,0.0,0.0
1.83557E+14,2021,11,0.0,0.0,0.0
1.83557E+14,2022,1,0.0,0.0,0.0
1.83557E+14,2022,5,10.0,25.0,50.0
1.83557E+14,2022,8,0.0,0.0,0.0
1.83557E+14,2022,11,0.0,0.0,0.0
1.83557E+14,2023,3,0.0,0.0,0.0
1.83557E+14,2023,5,0.0,0.0,0.0
1.838E+14,2021,11,0.0,0.0,0.0
1.838E+14,2022,1,0.0,0.0,0.0
1.838E+14,2022,5,0.0,0.0,0.0
1.838E+14,2022,8,105.39999999999999,263.5,527.0
1.838E+14,2022,11,0.0,0.0,0.0
1.838E+14,2023,3,0.0,0.0,0.0
1.838E+14,2023,5,0.0,0.0,0.0
1.84129E+14,2021,11,0.0,0.0,0.0
1.84129E+14,2022,1,0.0,0.0,0.0
1.84129E+14,2022,5,0.0,0.0,0.0
1.84129E+14,2022,8,100.0,250.0,500.0
1.84129E+14,2022,11,10.0,25.0,50.0
1.84129E+14,2023,3,0.0,0.0,0.0
1.84129E+14,2023,5,18.000000000000007,45.000000000000014,90.00000000000003
1.84526E+14,2022,1,0.0,0.0,0.0
1.84526E+14,2022,5,80.60000000000001,201.5,403.0
1.84526E+14,2022,8,0.0,0.0,0.0
1.84526E+14,2022,11,0.0,0.0,0.0
1.84526E+14,2023,3,0.0,0.0,0.0
1.84526E+14,2023,5,17.59999999999998,43.99999999999995,87.9999999999999
1.8453E+14,2021,11,0.0,0.0,0.0
1.8453E+14,2022,1,0.0,0.0,0.0
1.8453E+14,2022,5,0.0,0.0,0.0
1.8453E+14,2022,8,20.2,50.5,101.0
1.8453E+14,2022,11,0.0,0.0,0.0
1.8453E+14,2023,3,0.0,0.0,0.0
1.8453E+14,2023,5,0.999999999999996,2.4999999999999902,4.9999999999999805
1.84542E+14,2021,11,0.0,0.0,0.0
1.84542E+14,2022,1,0.0,0.0,0.0
1.84542E+14,2022,5,0.0,0.0,0.0
1.84542E+14,2023,3,15.0,37.5,75.0
1.84542E+14,2023,5,0.0,0.0,0.0
1.85009E+14,2021,11,0.0,0.0,0.0
1.85009E+14,2022,1,13.999999999999986,34.999999999999964,69.99999999999993
1.85009E+14,2022,5,32.00000000000001,80.00000000000001,160.00000000000003
1.85009E+14,2022,8,91.0,227.5,455.0
1.85009E+14,2022,11,0.0,0.0,0.0
1.85009E+14,2023,3,0.0,0.0,0.0
1.85009E+14,2023,5,58.99999999999999,147.5,295.0
1.8515E+14,2021,11,0.0,0.0,0.0
1.8515E+14,2022,1,17.4,43.49999999999999,86.99999999999999
1.8515E+14,2022,8,0.0,0.0,0.0
1.8515E+14,2022,11,0.0,0.0,0.0
1.8515E+14,2023,3,0.0,0.0,0.0
1.8515E+14,2023,5,0.999999999999996,2.4999999999999902,4.9999999999999805
1.8541E+14,2021,11,0.0,0.0,0.0
1.8541E+14,2022,1,0.0,0.0,0.0
1.8541E+14,2022,5,0.0,0.0,0.0
1.8541E+14,2022,8,118.0,295.0,590.0
1.8541E+14,2022,11,0.0,0.0,0.0
1.8541E+14,2023,5,0.0,0.0,0.0
1.85834E+14,2021,11,0.0,0.0,0.0
1.85834E+14,2022,1,0.0,0.0,0.0
1.85834E+14,2022,5,0.0,0.0,0.0
1.85834E+14,2022,8,181.0,452.50000000000006,905.0000000000001
1.85834E+14,2022,11,0.0,0.0,0.0
1.85834E+14,2023,3,0.0,0.0,0.0
1.85834E+14,2023,5,76.0,190.0,380.0
1.90355E+14,2021,11,0.0,0.0,0.0
1.90355E+14,2022,1,6.6000000000000005,16.5,33.0
1.90355E+14,2022,5,0.0,0.0,0.0
1.90355E+14,2022,8,284.0,710.0,1420.0
1.90355E+14,2022,11,0.0,0.0,0.0
1.90355E+14,2023,5,79.4,198.50000000000003,397.00000000000006
1.904E+14,2023,3,0.0,0.0,0.0
1.90805E+14,2021,11,0.0,0.0,0.0
1.90805E+14,2022,1,0.0,0.0,0.0
